
0;100;10.883850969235558;11.129915913814784;1;(7.64, 56, 1)
1;1810;6.133856549626232;None;6.385001358375537;4;(7.18, 30, 1)
2;3537;5.743506357513175;None;5.954056197732987;3;(5.45, 28, 1)
3;4536;5.743506355783276;None;5.954059469652305;3;(3.64, 18, 1)
4;5608;5.743506355732371;None;5.9540600868199425;3;(3.15, 17, 1)
5;7444;5.487508688849448;None;5.775347440561749;3;(5.93, 40, 1)
6;8434;5.487508688199359;None;5.775346334780074;3;(2.94, 5, 1)
7;9895;5.4875086881698865;None;5.775346064059234;3;(3.3, 22, 1)
8;11215;5.48750868816975;None;5.775346043104871;3;(3.14, 15, 1)
9;12598;5.48750868816975;None;5.7753460425037;3;(3.52, 43, 2)
10;13849;5.48750868816975;None;5.7753460425037;3;(3.16, 9, 3)
11;15115;5.48750868816975;None;5.7753460425037;3;(3.39, 16, 1)
12;16398;5.48750868816975;None;5.775346043757918;3;(3.08, 6, 3)
13;17582;5.48750868816975;None;5.775346043757918;3;(3.14, 11, 1)
14;19016;5.48750868816975;None;5.775346043757918;3;(3.09, 12, 1)
15;20535;5.48750868816975;None;5.775346043757918;3;(3.61, 19, 3)
16;21983;5.48750868816975;None;5.775346043757918;3;(3.52, 17, 2)
17;23255;5.48750868816975;None;5.775346043757918;3;(3.22, 19, 3)
18;24516;5.48750868816975;None;5.775346043757918;3;(3.08, 7, 1)
19;25903;5.48750868816975;None;5.775346043757918;3;(3.48, 21, 1)
20;27338;5.48750868816975;None;5.775346043757918;3;(3.08, 11, 2)
21;28900;5.48750868816975;None;5.775346043757918;3;(4.01, 30, 1)
22;30058;5.48750868816975;None;5.775346043757918;3;(3.16, 21, 1)
23;31259;5.48750868816975;None;5.775346043757918;3;(3.04, 8, 1)
24;32388;5.48750868816975;None;5.775346043757918;3;(3.02, 8, 1)
25;34131;5.48750868816975;None;5.775346043757918;3;(4.31, 55, 2)
26;35390;5.48750868816975;None;5.775346043757918;3;(3.13, 10, 1)
27;36421;5.48750868816975;None;5.775346043757918;3;(3.05, 5, 3)
28;37702;5.48750868816975;None;5.775346043757918;3;(3.17, 11, 1)
29;39014;5.48750868816975;None;5.775346043757918;3;(3.39, 26, 1)
30;40195;5.48750868816975;None;5.775346043757918;3;(3.08, 11, 1)
31;41838;5.48750868816975;None;5.775346043757918;3;(4.31, 63, 1)
32;43227;5.48750868816975;None;5.775346043757918;3;(3.08, 11, 1)
33;44490;5.48750868816975;None;5.775346043757918;3;(3.34, 33, 3)
34;45889;5.48750868816975;None;5.775346043757918;3;(3.38, 24, 1)
35;47253;5.48750868816975;None;5.775346043757918;3;(3.37, 14, 2)
36;48887;5.48750868816975;None;5.775346043757918;3;(3.77, 23, 1)
37;50172;5.48750868816975;None;5.775346043757918;3;(3.24, 13, 1)
38;51554;5.48750868816975;None;5.775346043757918;3;(3.4, 18, 3)
39;52878;5.48750868816975;None;5.775346043757918;3;(3.33, 17, 3)
40;53951;5.48750868816975;None;5.775346043757918;3;(3.2, 10, 3)
41;55408;5.48750868816975;None;5.775346043757918;3;(3.45, 39, 1)
42;56689;5.48750868816975;None;5.775346043757918;3;(3.0, 7, 1)
43;57784;5.48750868816975;None;5.775346043757918;3;(3.2, 17, 1)
44;59003;5.48750868816975;None;5.775346043757918;3;(3.39, 19, 3)
45;60220;5.48750868816975;None;5.775346043757918;3;(3.23, 23, 1)
46;61544;5.48750868816975;None;5.775346043757918;3;(3.43, 34, 1)
47;62867;5.48750868816975;None;5.775346043757918;3;(3.17, 12, 1)
48;64089;5.48750868816975;None;5.775346043757918;3;(3.07, 7, 1)
49;65268;5.48750868816975;None;5.775346043757918;3;(3.56, 24, 1)
50;66316;5.48750868816975;None;5.775346043757918;3;(2.96, 3, 1)
51;67606;5.48750868816975;None;5.775346043757918;3;(3.13, 13, 1)
52;69074;5.48750868816975;None;5.775346043757918;3;(3.15, 14, 1)
53;70490;5.48750868816975;None;5.775346043757918;3;(3.7, 25, 1)
54;71561;5.48750868816975;None;5.775346043757918;3;(3.21, 13, 1)
55;72779;5.48750868816975;None;5.775346043757918;3;(3.26, 24, 1)
56;74103;5.48750868816975;None;5.775346043757918;3;(3.47, 28, 1)
57;75425;5.48750868816975;None;5.775346043757918;3;(3.0, 7, 1)
58;76646;5.48750868816975;None;5.775346043757918;3;(2.99, 3, 2)
59;78212;5.48750868816975;None;5.775346043757918;3;(3.95, 25, 1)
60;79654;5.48750868816975;None;5.775346043757918;3;(3.53, 24, 1)
61;81066;5.48750868816975;None;5.775346043757918;3;(3.58, 36, 1)
62;82560;5.48750868816975;None;5.775346043757918;3;(3.47, 24, 3)
63;83661;5.48750868816975;None;5.775346043757918;3;(3.08, 10, 1)
64;84969;5.48750868816975;None;5.775346043757918;3;(3.25, 16, 1)
65;86287;5.48750868816975;None;5.775346043757918;3;(3.07, 8, 1)
66;87490;5.48750868816975;None;5.775346043757918;3;(3.25, 13, 1)
67;88777;5.48750868816975;None;5.775346043757918;3;(3.25, 15, 1)
68;89991;5.48750868816975;None;5.775346043757918;3;(3.05, 9, 1)
69;91238;5.48750868816975;None;5.775346043757918;3;(3.33, 15, 3)
70;92413;5.48750868816975;None;5.775346043757918;3;(3.0, 8, 1)
71;93400;5.48750868816975;None;5.775346043757918;3;(3.04, 8, 1)
72;94590;5.48750868816975;None;5.775346043757918;3;(3.47, 27, 3)
73;95981;5.48750868816975;None;5.775346043757918;3;(3.21, 18, 1)
74;97508;5.48750868816975;None;5.775346043757918;3;(4.05, 57, 3)
75;98583;5.48750868816975;None;5.775346043757918;3;(3.09, 8, 3)
76;100037;5.48750868816975;None;5.775346043757918;3;(3.48, 18, 1)
77;101309;5.48750868816975;None;5.775346043757918;3;(3.28, 30, 1)
78;102656;5.48750868816975;None;5.775346043757918;3;(3.34, 32, 1)
79;104025;5.48750868816975;None;5.775346043757918;3;(3.69, 44, 1)
80;105226;5.48750868816975;None;5.775346043757918;3;(3.18, 13, 3)
81;106486;5.48750868816975;None;5.775346043757918;3;(3.11, 7, 2)
82;107835;5.48750868816975;None;5.775346043757918;3;(3.53, 18, 1)
83;109021;5.48750868816975;None;5.775346043757918;3;(3.21, 12, 3)
84;110247;5.48750868816975;None;5.775346043757918;3;(2.98, 3, 1)
85;111264;5.48750868816975;None;5.775346043757918;3;(3.01, 9, 1)
86;112479;5.48750868816975;None;5.775346043757918;3;(3.05, 10, 1)
87;113984;5.48750868816975;None;5.775346043757918;3;(3.56, 28, 1)
88;115201;5.48750868816975;None;5.775346043757918;3;(3.27, 27, 2)
89;116529;5.48750868816975;None;5.775346043757918;3;(3.03, 6, 1)
90;117829;5.48750868816975;None;5.775346043757918;3;(3.46, 26, 1)
91;119219;5.48750868816975;None;5.775346043757918;3;(3.47, 25, 3)
92;120817;5.48750868816975;None;5.775346043757918;3;(3.76, 33, 3)
93;121995;5.48750868816975;None;5.775346043757918;3;(3.03, 6, 1)
94;123230;5.48750868816975;None;5.775346043757918;3;(3.2, 11, 2)
95;124585;5.48750868816975;None;5.775346043757918;3;(3.38, 27, 3)
96;125935;5.48750868816975;None;5.775346043757918;3;(3.18, 12, 1)
97;127394;5.48750868816975;None;5.775346043757918;3;(3.59, 24, 1)
98;128723;5.48750868816975;None;5.775346043757918;3;(3.06, 6, 3)
99;130081;5.48750868816975;None;5.775346043757918;3;(3.32, 19, 3)
100;131589;5.48750868816975;None;5.775346043757918;3;(3.17, 13, 1)
101;132737;5.48750868816975;None;5.775346043757918;3;(3.17, 17, 1)
102;134105;5.48750868816975;None;5.775346043757918;3;(3.3, 11, 1)
103;135366;5.48750868816975;None;5.775346043757918;3;(3.34, 19, 1)
104;136659;5.48750868816975;None;5.775346043757918;3;(3.13, 12, 1)
105;137948;5.48750868816975;None;5.775346043757918;3;(3.36, 24, 1)
106;139436;5.48750868816975;None;5.775346043757918;3;(3.62, 24, 1)
107;140836;5.48750868816975;None;5.775346043757918;3;(3.6, 36, 3)
108;142283;5.48750868816975;None;5.775346043757918;3;(3.72, 25, 1)
109;143657;5.48750868816975;None;5.775346043757918;3;(3.57, 30, 1)
110;145007;5.48750868816975;None;5.775346043757918;3;(3.68, 21, 1)
111;146365;5.48750868816975;None;5.775346043757918;3;(3.54, 37, 3)
112;147630;5.48750868816975;None;5.775346043757918;3;(3.45, 21, 3)
113;149025;5.48750868816975;None;5.775346043757918;3;(3.53, 46, 3)
